price_main,title,rooms,area,floor,building_type,materials,year,district
7660000 грн,"вул. Максимовича, 28б",3 кімнати,85 / 45 / 12 м²,поверх 8 з 14,спец. проект,панельні,2018,Голосіїво
5745000 грн,"вул. Ломоносова, 34/1а",3 кімнати,105 / 80 / 17 м²,поверх 1 з 6,сталінка,цегляний будинок,1962,Голосіїво
2010750 грн,"вул. Максимовича, 26",1 кімната,29 / 18 / 5 м²,поверх 5 з 21,спец. проект,цегляний будинок,2018,Голосіїво
9575000 грн,"вул. Ломоносова, 71г",3 кімнати,105 / 65 / 20 м²,поверх 15 з 18,спец. проект,монолітно-каркасний,2013,Голосіїво
3083150 грн,"вул. Максимовича, 7в",2 кімнати,63 / 32 / 10 м²,поверх 13 з 16,спец. проект,панельні,2013,Голосіїво
2106500 грн,"вул. Васильківська, 49",2 кімнати,43 / 30 / 7 м²,поверх 5 з 5,хрущівка,панельні,1961,Голосіїво
2987400 грн,"вул. Ломоносова, 36в",1 кімната,43 / 18 / 10 м²,поверх 24 з 26,спец. проект,панельні,2018,Голосіїво
2183100 грн,"Задорожний пров., 5к1",1 кімната,30 / 15 / 6.3 м²,поверх 4 з 6,хрущівка,цегляний будинок,1970,Голосіїво
3140600 грн,"вул. Потєхіна, 4",2 кімнати,46 / 31 / 7 м²,поверх 6 з 14,спец. проект,цегляний будинок,1970,Голосіїво
2309490 грн,"вул. Максимовича, 3д",1 кімната,24.1 / 14.2 / 2.6 м²,поверх 10 з 25,спец. проект,монолітно-каркасний,2017,Голосіїво
3094640 грн,"вул. Максимовича, 3д",1 кімната,32.3 / 18.1 / 4.4 м²,поверх 10 з 25,спец. проект,монолітно-каркасний,2017,Голосіїво
3607860 грн,"вул. Максимовича, 3д",1 кімната,37.7 / 18.1 / 3.7 м²,поверх 10 з 25,спец. проект,монолітно-каркасний,2017,Голосіїво
2508650 грн,"вул. Максимовича, 26",1 кімната,41 / 15 / 18 м²,поверх 7 з 21,спец. проект,цегляний будинок,2018,Голосіїво
4366200 грн,"вул. Максимовича, 32а",3 кімнати,98 / 55 / 19 м²,поверх 12 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
3830000 грн,"вул. Максимовича, 28б",1 кімната,40 / 25 / 10 м²,поверх 8 з 13,спец. проект,панельні,2018,Голосіїво
2489500 грн,"просп. Голосіївський, 94/1",2 кімнати,42.7 / 27 / 6.7 м²,поверх 3 з 5,хрущівка,цегляний будинок,1961,Голосіїво
2937610 грн,"вул. Володі Дубініна, 14",3 кімнати,61 / 40 / 7 м²,поверх 4 з 5,хрущівка,цегляний будинок,1967,Голосіїво
4979000 грн,"вул. Максимовича, 3д",2 кімнати,78.9 / 42.8 / 12.9 м²,поверх 11 з 25,спец. проект,монолітно-каркасний,2017,Голосіїво
3255500 грн,"вул. Васильківська, 42",3 кімнати,82 / 50 / 10 м²,поверх 2 з 9,совмін,цегляний будинок,1974,Голосіїво
10724000 грн,"вул. Ломоносова, 71г",3 кімнати,180 / 102 / 32 м²,поверх 11 з 19,спец. проект,монолітно-каркасний,2013,Голосіїво
1800100 грн,"просп. Голосіївський, 116а",1 кімната,31 / 17 / 8 м²,поверх 1 з 9,чеський проект,панельні,1972,Голосіїво
4021462 грн,"вул. Максимовича, 28б",1 кімната,41 / 15 / 15 м²,поверх 8 з 14,спец. проект,панельні,2018,Голосіїво
