price_main,rooms,area,floor,building_type,materials,district,building_type_old,materials_old,district_old,house_age,price_per_meter,repair
1723500,2,44.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,39170,2.0
3178900,1,49.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,11,64876,0.0
3064000,1,43.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,11,71256,1.0
2681000,3,75.3,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,35604,2.0
2259700,3,62.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,36447,2.0
2298000,1,38.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,60474,0.0
2757600,1,45.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,11,61280,0.0
2336300,2,58.3,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,40074,2.0
2527800,1,47.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,53783,0.0
2872500,1,54.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,53194,0.0
4404500,2,71.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,62035,0.0
4213000,2,74.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,56932,0.0
2987400,1,55.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,54316,0.0
3791700,2,74.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,51239,0.0
4213000,2,77.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,54714,0.0
2681000,1,47.07,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,56958,0.0
3447000,2,72.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,47875,0.0
3695950,2,71.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,52056,0.0
3707440,2,76.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,48782,0.0
3064000,1,55.12,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,55588,0.0
2221400,3,59.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,37651,2.0
4979000,3,89.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,55944,0.0
2029900,2,51.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,53,39802,2.0
2681000,3,65.0,0,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,41246,2.0
12639000,5,282.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,44819,2.0
11490000,4,210.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,54714,0.0
7162100,2,68.2,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,105016,1.0
6894000,1,75.0,0,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,91920,1.0
2298000,3,64.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,35906,2.0
2183100,2,50.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,52,43662,2.0
2336300,1,37.0,1,0.0713678483400785,0.3894183423086505,0.1986693307950612,спец. проект,цегляний будинок,Березняки,41,63143,0.0
2102670,3,60.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,35044,2.0
2259700,3,65.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,34765,2.0
4289600,2,71.0,1,0.0713678483400785,0.3894183423086505,0.1986693307950612,спец. проект,цегляний будинок,Березняки,41,60417,0.0
2317150,3,60.0,0,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,38619,2.0
3791700,2,50.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,75834,1.0
2412900,3,65.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,37122,2.0
1378800,1,34.0,1,0.2818428521222099,0.5646424733950354,0.1986693307950612,БПС,утеплена панель,Березняки,50,40553,2.0
2872500,3,60.0,1,0.2818428521222099,0.5646424733950354,0.1986693307950612,БПС,утеплена панель,Березняки,53,47875,0.0
3025700,1,47.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,64377,0.0
2757600,3,68.1,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,40493,2.0
1413270,1,25.0,1,0.2818428521222099,0.5646424733950354,0.1986693307950612,БПС,утеплена панель,Березняки,50,56531,0.0
2317112,3,60.0,0,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,38619,2.0
4940700,2,62.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,79689,1.0
2106500,2,58.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,52,36319,2.0
3064000,2,44.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,51,69636,1.0
3791700,2,47.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,80674,1.0
8004700,3,116.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,14,69006,1.0
6128000,2,86.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,14,71256,1.0
2106500,3,60.0,0,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,35108,2.0
2527800,2,43.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,58786,0.0
7545100,4,140.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,53894,0.0
1455400,1,30.0,1,0.7559753651467324,0.3894183423086505,0.1986693307950612,гостинка,цегляний будинок,Березняки,50,48513,0.0
2642700,4,68.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,38863,2.0
2412900,3,65.0,0,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,53,37122,2.0
5745000,3,80.0,1,0.0713678483400785,0.3894183423086505,0.1986693307950612,спец. проект,цегляний будинок,Березняки,27,71812,1.0
2106500,2,45.9,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,45893,2.0
1531962,1,31.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,55,49418,0.0
4825800,3,118.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,23,40897,2.0
1340500,1,30.0,1,0.7559753651467324,0.3894183423086505,0.1986693307950612,гостинка,цегляний будинок,Березняки,50,44683,2.0
3830000,1,43.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,10,89070,1.0
4596000,2,70.0,1,0.0713678483400785,0.0,0.1986693307950612,спец. проект,монолітно-каркасний,Березняки,16,65657,0.0
2489500,2,46.0,1,0.2818428521222099,0.5646424733950354,0.1986693307950612,БПС,утеплена панель,Березняки,51,54120,0.0
1876700,3,59.0,1,0.6550778971785186,0.7173560908995228,0.1986693307950612,чеський проект,панельні,Березняки,54,31808,2.0
